r_kpc,v_km_s,sigma_km_s,r_m,v_m_s,sigma_m_s
12.5,78.3896027,,3.85709697625e+20,78389.6027,
12.5199995,78.3287201,,3.863268177128121e+20,78328.72009999999,
12.54,78.2679749,,3.8694396865739994e+20,78267.9749,
12.5599995,78.2073593,,3.875610887452121e+20,78207.3593,
12.5799999,78.1468811,,3.881782366041224e+20,78146.8811,
12.5999994,78.0865479,,3.887953566919345e+20,78086.5479,
12.6199999,78.0263519,,3.894125076365224e+20,78026.3519,
12.6399994,77.9662857,,3.900296277243345e+20,77966.2857,
12.6599998,77.9063568,,3.906467755832448e+20,77906.3568,
12.6799994,77.8465652,,3.912638987567345e+20,77846.5652,
12.6999998,77.7869034,,3.918810466156448e+20,77786.9034,
12.7199993,77.7273788,,3.924981667034569e+20,77727.37879999999,
12.7399998,77.6679916,,3.931153176480448e+20,77667.9916,
12.7599993,77.6087341,,3.937324377358569e+20,77608.7341,
12.7799997,77.5495987,,3.9434958559476725e+20,77549.5987,
12.7999992,77.4906082,,3.949667056825793e+20,77490.6082,
12.8199997,77.4317474,,3.9558385662716726e+20,77431.74740000001,
12.8400002,77.3730087,,3.9620100757175514e+20,77373.0087,
12.8599997,77.314415,,3.968181276595672e+20,77314.415,
12.8800001,77.2559357,,3.974352755184776e+20,77255.9357,
12.8999996,77.1975937,,3.980523956062896e+20,77197.5937,
12.9200001,77.1393814,,3.9866954655087755e+20,77139.3814,
12.9399996,77.0813065,,3.992866666386897e+20,77081.30649999999,
12.96,77.0233459,,3.999038144976e+20,77023.3459,
12.9799995,76.9655228,,4.005209345854121e+20,76965.5228,
13.0,76.907814,,4.0113808552999997e+20,76907.814,
13.0199995,76.8502426,,4.017552056178121e+20,76850.2426,
13.04,76.7927856,,4.023723565624e+20,76792.7856,
13.0599995,76.7354736,,4.0298947665021207e+20,76735.47360000001,
13.0799999,76.6782684,,4.0360662450912245e+20,76678.26839999999,
13.0999994,76.6212006,,4.042237445969345e+20,76621.2006,
13.1199999,76.5642548,,4.048408955415224e+20,76564.2548,
13.1399994,76.5074234,,4.0545801562933454e+20,76507.4234,
13.1599998,76.4507294,,4.060751634882448e+20,76450.7294,
13.1799994,76.3941498,,4.066922866617345e+20,76394.1498,
13.1999998,76.3376923,,4.073094345206448e+20,76337.6923,
13.2199993,76.2813721,,4.079265546084569e+20,76281.3721,
13.2399998,76.2251587,,4.085437055530448e+20,76225.1587,
13.2599993,76.169075,,4.091608256408569e+20,76169.07500000001,
13.2799997,76.1131058,,4.097779734997672e+20,76113.1058,
13.2999992,76.0572586,,4.103950935875794e+20,76057.2586,
13.3199997,76.0015335,,4.1101224453216725e+20,76001.53349999999,
13.3400002,75.9459229,,4.116293954767552e+20,75945.9229,
13.3599997,75.8904419,,4.122465155645672e+20,75890.4419,
13.3800001,75.8350677,,4.128636634234776e+20,75835.0677,
13.3999996,75.7798157,,4.1348078351128966e+20,75779.8157,
13.4200001,75.7246857,,4.1409793445587753e+20,75724.6857,
13.4399996,75.6696777,,4.147150545436897e+20,75669.6777,
13.46,75.614769,,4.153322024026e+20,75614.769,
13.4799995,75.5599976,,4.159493224904121e+20,75559.9976,
13.5,75.5053329,,4.16566473435e+20,75505.3329,
13.5199995,75.4507828,,4.171835935228121e+20,75450.7828,
13.54,75.3963547,,4.1780074446739997e+20,75396.3547,
13.5599995,75.342041,,4.184178645552121e+20,75342.041,
13.5799999,75.2878342,,4.190350124141224e+20,75287.83420000001,
13.5999994,75.233757,,4.196521325019345e+20,75233.757,
13.6199999,75.1797791,,4.202692834465224e+20,75179.7791,
13.6399994,75.1259155,,4.208864035343345e+20,75125.9155,
13.6599998,75.0721664,,4.2150355139324484e+20,75072.1664,
13.6799994,75.0185394,,4.221206745667345e+20,75018.5394,
13.6999998,74.9650116,,4.2273782242564486e+20,74965.0116,
13.7199993,74.9116058,,4.233549425134569e+20,74911.6058,
13.7399998,74.8582993,,4.239720934580448e+20,74858.2993,
13.7599993,74.8051224,,4.2458921354585696e+20,74805.12240000001,
13.7799997,74.752037,,4.252063614047672e+20,74752.037,
13.7999992,74.6990814,,4.2582348149257935e+20,74699.0814,
13.8199997,74.6462173,,4.264406324371672e+20,74646.2173,
13.8400002,74.593483,,4.2705778338175517e+20,74593.48300000001,
13.8599997,74.5408478,,4.2767490346956725e+20,74540.84779999999,
13.8800001,74.4883118,,4.2829205132847756e+20,74488.31180000001,
13.8999996,74.4358978,,4.2890917141628964e+20,74435.8978,
13.9200001,74.3835983,,4.295263223608775e+20,74383.5983,
13.9399996,74.3313828,,4.3014344244868966e+20,74331.3828,
13.96,74.2792969,,4.3076059030760004e+20,74279.2969,
13.9799995,74.2273178,,4.3137771039541205e+20,74227.31779999999,
14.0,74.1754379,,4.3199486134e+20,74175.4379,
14.0199995,74.1236572,,4.3261198142781214e+20,74123.6572,
14.04,74.071991,,4.3322913237239995e+20,74071.991,
14.0599995,74.0204315,,4.338462524602121e+20,74020.4315,
14.0799999,73.9689789,,4.344634003191224e+20,73968.9789,
14.0999994,73.9176254,,4.350805204069345e+20,73917.6254,
14.1199999,73.8663864,,4.356976713515224e+20,73866.3864,
14.1399994,73.8152313,,4.363147914393345e+20,73815.2313,
14.1599998,73.7641907,,4.369319392982448e+20,73764.1907,
14.1799994,73.7132721,,4.375490624717345e+20,73713.2721,
14.1999998,73.6624374,,4.3816621033064484e+20,73662.4374,
14.2199993,73.6117096,,4.387833304184569e+20,73611.7096,
14.2399998,73.5610886,,4.394004813630448e+20,73561.0886,
14.2599993,73.5105591,,4.4001760145085694e+20,73510.5591,
14.2799997,73.460144,,4.4063474930976725e+20,73460.144,
14.2999992,73.4098206,,4.4125186939757933e+20,73409.8206,
14.3199997,73.3596039,,4.418690203421673e+20,73359.6039,
14.3400002,73.3094864,,4.4248617128675515e+20,73309.4864,
14.3599997,73.2594681,,4.431032913745672e+20,73259.46810000001,
14.3800001,73.209549,,4.4372043923347754e+20,73209.549,
14.3999996,73.1597366,,4.443375593212896e+20,73159.7366,
14.4200001,73.1100235,,4.4495471026587756e+20,73110.0235,
14.4399996,73.0604095,,4.4557183035368964e+20,73060.40950000001,
14.46,73.0108871,,4.461889782126e+20,73010.8871,
14.4799995,72.9614716,,4.468060983004121e+20,72961.47159999999,
14.5,72.9121475,,4.47423249245e+20,72912.1475,
14.5199995,72.8629227,,4.480403693328121e+20,72862.9227,
14.54,72.813797,,4.486575202773999e+20,72813.79699999999,
14.5599995,72.7647705,,4.492746403652121e+20,72764.7705,
14.5799999,72.7158356,,4.4989178822412245e+20,72715.8356,
14.5999994,72.6669998,,4.505089083119345e+20,72666.9998,
14.6199999,72.6182632,,4.511260592565224e+20,72618.2632,
14.6399994,72.5696259,,4.517431793443345e+20,72569.6259,
14.6599998,72.52108,,4.523603272032448e+20,72521.08,
14.6799994,72.4726257,,4.529774503767345e+20,72472.62569999999,
14.6999998,72.424263,,4.535945982356448e+20,72424.26299999999,
14.7199993,72.3760071,,4.542117183234569e+20,72376.0071,
14.7399998,72.3278427,,4.5482886926804484e+20,72327.84270000001,
14.7599993,72.2797775,,4.554459893558569e+20,72279.7775,
14.7799997,72.2317963,,4.5606313721476724e+20,72231.7963,
14.7999992,72.1839142,,4.566802573025793e+20,72183.9142,
14.8199997,72.136116,,4.5729740824716725e+20,72136.116,
14.8399992,72.0884247,,4.5791452833497933e+20,72088.4247,
14.8599997,72.0408173,,4.585316792795672e+20,72040.8173,
14.8800001,71.993309,,4.591488271384776e+20,71993.309,
14.8999996,71.9458847,,4.597659472262897e+20,71945.8847,
14.9200001,71.8985596,,4.6038309817087754e+20,71898.5596,
14.9399996,71.851326,,4.610002182586897e+20,71851.326,
14.96,71.8041763,,4.616173661176e+20,71804.17629999999,
14.9799995,71.7571182,,4.622344862054121e+20,71757.1182,
15.0,71.7101517,,4.6285163714999996e+20,71710.1517,
15.0199995,71.6632843,,4.634687572378121e+20,71663.2843,
15.04,71.6164932,,4.640859081824e+20,71616.4932,
15.0599995,71.5698013,,4.6470302827021206e+20,71569.80129999999,
15.0799999,71.5232086,,4.6532017612912244e+20,71523.2086,
15.0999994,71.4766846,,4.659372962169345e+20,71476.6846,
15.1199999,71.4302597,,4.665544471615224e+20,71430.2597,
15.1399994,71.383934,,4.6717156724933453e+20,71383.934,
15.1599998,71.337677,,4.677887151082448e+20,71337.677,
15.1799994,71.2915192,,4.684058382817345e+20,71291.5192,
15.1999998,71.2454453,,4.690229861406449e+20,71245.4453,
15.2199993,71.1994629,,4.696401062284569e+20,71199.4629,
15.2399998,71.1535568,,4.702572571730448e+20,71153.5568,
15.2599993,71.1077499,,4.708743772608569e+20,71107.7499,
15.2799997,71.062027,,4.714915251197672e+20,71062.027,
15.2999992,71.0163879,,4.7210864520757936e+20,71016.3879,
15.3199997,70.9708328,,4.7272579615216724e+20,70970.8328,
15.3399992,70.9253693,,4.733429162399793e+20,70925.3693,
15.3599997,70.8799896,,4.7396006718456726e+20,70879.9896,
15.3800001,70.8347015,,4.745772150434776e+20,70834.7015,
15.3999996,70.7894897,,4.7519433513128965e+20,70789.4897,
15.4200001,70.7443695,,4.758114860758775e+20,70744.3695,
